,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,clusters,cluster
1548,Eternally Confused and Eager for Love,SHOW,2022,TV-MA,23,"['comedy', 'romance']",India,1,tt18274188,6.7,1302,0,light pink
1549,"Love, Life & Everything in Between",SHOW,2022,TV-14,27,"['drama', 'comedy', 'romance']",Saudi Arabia,1,tt18253682,5.3,65,0,light pink
1550,Daughter from Another Mother,SHOW,2021,TV-MA,38,"['romance', 'fantasy', 'comedy', 'drama']",Mexico,2,tt11937732,7.2,1766,0,light pink
1551,John of God: The Crimes of a Spiritual Healer,SHOW,2021,TV-MA,50,"['crime', 'documentation']",Brazil,1,tt15233856,6.5,777,0,light pink
1552,Insiders,SHOW,2021,TV-MA,48,['reality'],Spain,2,tt15436028,4.2,609,0,light pink
1553,Too Hot to Handle: Latino,SHOW,2021,TV-14,36,"['reality', 'romance']",Mexico,1,tt15251764,5.2,260,0,light pink
1554,Pedal to Metal,SHOW,2022,TV-MA,38,"['action', 'crime', 'thriller', 'drama']",Mexico,1,tt15016440,7.5,51,0,light pink
1555,Midnight Asia: Eat · Dance · Dream,SHOW,2022,TV-MA,37,['documentation'],Singapore,1,tt16583602,6.6,474,0,light pink
1556,Dad Stop Embarrassing Me!,SHOW,2021,TV-14,25,"['comedy', 'family']",United States of America (the),1,tt13018090,4.1,1853,0,light pink
1557,Mine,SHOW,2021,TV-14,69,['drama'],Korea (the Republic of),1,tt14023192,7.8,1101,0,light pink
1558,Sharkdog,SHOW,2021,TV-Y,0,"['comedy', 'family', 'animation']",Singapore,1,tt12211696,6.2,136,0,light pink
1559,Cat People,SHOW,2021,TV-14,32,['documentation'],United States of America (the),1,tt14818454,6.3,266,0,light pink
