,title,type,release_year,runtime,genres,production_countries,seasons,imdb_score,imdb_votes
234,Yaar Gaddar,MOVIE,1994,147,"['crime', 'action', 'drama']",['IN'],,3.6,142
235,Sinbad: Nothin' but the Funk,MOVIE,1998,55,"['comedy', 'documentation']",['US'],,6.2,65
236,Dushmani,MOVIE,1995,156,"['romance', 'action', 'drama']",['IN'],,5,248
237,Fiza,MOVIE,2000,170,"['drama', 'romance', 'action', 'crime']",['IN'],,6,4168
238,Hello Brother,MOVIE,1999,131,"['romance', 'action', 'comedy', 'fantasy']",['IN'],,4.6,4230
239,Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999,118,"['drama', 'comedy']",['TR'],,,
240,Shikari,MOVIE,1991,162,"['drama', 'action']","['IN', 'SU']",,5.9,66
241,Breaking Bad,SHOW,2008,48,"['drama', 'thriller', 'crime']",['US'],5,9.5,1727694
242,The Walking Dead,SHOW,2010,46,"['action', 'drama', 'scifi', 'thriller', 'horror']",['US'],11,8.2,945125
243,The Staircase,SHOW,2004,49,"['crime', 'documentation', 'drama']",['FR'],2,7.8,21531
244,Downton Abbey,SHOW,2010,58,"['drama', 'romance', 'european']",['GB'],6,8.7,197744
245,Grey's Anatomy,SHOW,2005,49,"['drama', 'romance']",['US'],18,7.6,293618
246,The Great British Baking Show,SHOW,2010,57,"['reality', 'european']",['GB'],12,8.6,9564
247,Criminal Minds,SHOW,2005,44,"['thriller', 'crime', 'drama']",['US'],15,8.1,189191
248,NCIS,SHOW,2003,44,"['action', 'drama', 'crime', 'thriller', 'comedy']",['US'],19,7.8,141049
249,Community,SHOW,2009,23,['comedy'],['US'],6,8.5,252564
250,Heartland,SHOW,2007,44,"['drama', 'family']",['CA'],15,8.4,15743
251,Supernatural,SHOW,2005,45,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],15,8.5,428639
252,Forgetting Sarah Marshall,MOVIE,2008,111,"['comedy', 'drama', 'romance']",['US'],,7.1,280121
253,War of the Worlds,MOVIE,2005,117,"['thriller', 'action', 'scifi']",['US'],,6.5,439027
254,Arrested Development,SHOW,2003,28,['comedy'],['US'],5,8.7,297552
255,The IT Crowd,SHOW,2006,25,"['comedy', 'european']",['GB'],5,8.5,147409
256,30 Rock,SHOW,2006,25,"['comedy', 'sport']",['US'],7,8.3,121514
257,Avatar: The Last Airbender,SHOW,2005,24,"['scifi', 'family', 'fantasy', 'animation', 'action']",['US'],3,9.3,297336
258,Inception,MOVIE,2010,148,"['scifi', 'music', 'thriller', 'action']","['GB', 'US']",,8.8,2268288
259,The Other Guys,MOVIE,2010,107,"['crime', 'action', 'comedy']",['US'],,6.6,263019
260,How to Train Your Dragon,MOVIE,2010,98,"['fantasy', 'animation', 'action', 'comedy', 'family', 'drama']",['US'],,8.1,719717
261,Friday Night Lights,SHOW,2006,43,"['drama', 'sport']",['US'],5,8.7,64449
262,Casino Royale,MOVIE,2006,139,"['thriller', 'action', 'european']","['GB', 'US', 'BS', 'CZ', 'DE']",,8,644336
263,Michael Clayton,MOVIE,2007,120,"['thriller', 'crime', 'drama']",['US'],,7.2,163878
264,My Little Pony: Friendship Is Magic,SHOW,2010,22,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']","['CA', 'US']",9,7.6,20708
265,The Fairly OddParents,SHOW,2001,24,"['scifi', 'family', 'fantasy', 'animation', 'comedy']","['US', 'CA']",10,7.2,38046
266,Jackass: The Movie,MOVIE,2002,88,"['action', 'comedy', 'documentation']",['US'],,6.6,92305
267,Sonic X,SHOW,2003,21,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']",['JP'],3,6.1,4577
268,DEATH NOTE,SHOW,2006,24,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",['JP'],1,9,302147
269,Zoolander,MOVIE,2001,90,"['comedy', 'european']","['US', 'DE']",,6.5,260975
