,title,type,release_year,age_certification,genres,production_countries,imdb_id,imdb_score,imdb_votes
4962,The Last Bus,SHOW,2022,TV-PG,"['scifi', 'comedy', 'drama', 'family', 'fantasy']",['GB'],tt12885670,5.0,500.0
4963,Cracow Monsters,SHOW,2022,TV-MA,"['scifi', 'drama', 'fantasy', 'horror', 'thriller']",['PL'],tt15096836,5.5,1492.0
4964,The Puppet Master: Hunting the Ultimate Conman,SHOW,2022,TV-MA,"['crime', 'documentation']",['GB'],tt15479704,7.0,5224.0
4965,Twenty Five Twenty One,SHOW,2022,TV-14,"['drama', 'romance']",['KR'],tt17513352,8.7,4081.0
4968,Firefly Lane,SHOW,2021,TV-MA,"['drama', 'romance']",['US'],tt9012876,7.4,20300.0
4970,The Billion Dollar Code,SHOW,2021,TV-MA,"['drama', 'thriller', 'crime']",['DE'],tt15392100,8.0,7313.0
4976,The Principles of Pleasure,SHOW,2022,TV-MA,['documentation'],['US'],tt18299058,4.7,64.0
4978,Attenborough's Life in Colour,SHOW,2021,TV-PG,['documentation'],['GB'],tt11053426,8.2,3090.0
4981,Making Fun,SHOW,2022,TV-PG,['reality'],['US'],tt17737382,7.0,557.0
4983,The Irregulars,SHOW,2021,TV-14,"['crime', 'drama', 'fantasy', 'scifi']",['GB'],tt10893694,5.9,14714.0
4985,My Name,SHOW,2021,TV-MA,"['thriller', 'action', 'crime', 'drama']",['KR'],tt12940504,7.8,18446.0
4987,Turning Point: 9/11 and the War on Terror,SHOW,2021,TV-14,"['war', 'history', 'documentation']",['US'],tt15260794,8.0,8881.0
4990,How to Become a Tyrant,SHOW,2021,TV-MA,"['war', 'history', 'documentation']",['US'],tt14832996,7.4,8041.0
4993,Who Killed Sara?,SHOW,2021,TV-MA,"['drama', 'crime', 'thriller']",['MX'],tt11937816,6.4,12148.0
4994,The Innocent,SHOW,2021,TV-MA,"['crime', 'drama', 'thriller']",['ES'],tt10147644,7.8,29019.0
4995,Masters of the Universe: Revelation,SHOW,2021,TV-PG,"['scifi', 'animation', 'action', 'drama', 'family', 'fantasy', 'comedy']",['US'],tt10826054,5.2,26127.0
4997,Maya and the Three,SHOW,2021,TV-Y7,"['comedy', 'drama', 'family', 'fantasy', 'animation', 'action']",['MX'],tt8787772,8.1,3597.0
4999,Night Stalker: The Hunt for a Serial Killer,SHOW,2021,TV-MA,"['crime', 'documentation']",['US'],tt13651632,7.5,23939.0
5001,Samurai Rabbit: The Usagi Chronicles,SHOW,2022,TV-Y7,"['action', 'fantasy', 'scifi', 'animation', 'comedy', 'family']",['US'],tt12717354,6.6,148.0
5008,The One,SHOW,2021,TV-MA,"['crime', 'drama', 'scifi', 'thriller', 'action']",['GB'],tt13879466,6.6,12367.0
5012,Feria: The Darkest Light,SHOW,2022,TV-MA,"['scifi', 'crime', 'drama', 'fantasy', 'horror', 'thriller']",['ES'],tt13323004,5.7,1532.0
5016,Midnight at the Pera Palace,SHOW,2022,TV-14,"['crime', 'drama', 'history']",['TR'],tt13317508,7.1,6624.0
5017,VOIR,SHOW,2021,TV-MA,['documentation'],['US'],tt15677070,6.8,1255.0
5020,Jupiter's Legacy,SHOW,2021,TV-MA,"['scifi', 'action', 'drama', 'fantasy']",['US'],tt5774002,6.7,37235.0
5029,Pretend It's a City,SHOW,2021,TV-14,"['comedy', 'documentation']",['US'],tt13660958,8.1,7096.0
5031,Crime Scene: The Vanishing at the Cecil Hotel,SHOW,2021,TV-MA,"['documentation', 'crime', 'thriller']",['US'],tt13840586,5.9,16799.0
5033,Super Crooks,SHOW,2021,TV-MA,"['scifi', 'drama', 'animation', 'action', 'crime', 'fantasy']",['JP'],tt14272628,7.1,1984.0
5034,Life After Death with Tyler Henry,SHOW,2022,TV-MA,['reality'],['US'],tt18224644,5.5,522.0
5039,Catching Killers,SHOW,2021,TV-MA,"['documentation', 'crime']",['US'],tt15723914,7.1,2908.0
5041,Animal,SHOW,2021,TV-PG,['documentation'],"['US', 'BR']",tt15674216,7.9,857.0
5042,Hometown Cha-Cha-Cha,SHOW,2021,TV-14,"['comedy', 'romance', 'drama']",['KR'],tt14518756,8.5,9987.0
5053,Chosen,SHOW,2022,TV-MA,"['scifi', 'thriller', 'drama']",['DK'],tt16492950,4.3,1111.0
5055,An astrological guide for broken hearts,SHOW,2021,TV-14,"['comedy', 'romance']",['IT'],tt14759406,7.1,2827.0
5056,Sophie: A Murder in West Cork,SHOW,2021,TV-14,"['crime', 'documentation', 'history']",['GB'],tt14681732,6.8,5093.0
5058,Standing Up,SHOW,2022,TV-MA,"['comedy', 'drama']",['FR'],tt18260550,6.2,133.0
5059,Who Rules The World,SHOW,2022,TV-PG,"['drama', 'fantasy', 'romance']",['CN'],tt14950036,9.2,81.0
5061,Countdown: Inspiration4 Mission to Space,SHOW,2021,TV-14,['documentation'],['US'],tt15166116,7.9,1642.0
5062,Glória,SHOW,2021,TV-MA,"['drama', 'history', 'thriller']",['PT'],tt13064634,8.0,3941.0
5063,This Is a Robbery: The World's Biggest Art Heist,SHOW,2021,TV-MA,"['crime', 'history', 'documentation']",['US'],tt14223858,6.5,4246.0
5070,Heist,SHOW,2021,TV-MA,"['crime', 'documentation']",['US'],tt14865290,6.8,1698.0
5071,History of Swear Words,SHOW,2021,TV-MA,"['comedy', 'documentation']",['US'],tt13617060,6.4,4776.0
5072,Trese,SHOW,2021,TV-MA,"['crime', 'action', 'fantasy', 'horror', 'thriller', 'animation', 'scifi']",['PH'],tt9310336,7.0,3701.0
5073,The Sound of Magic,SHOW,2022,TV-14,"['drama', 'fantasy', 'music']",['KR'],tt14460684,8.0,982.0
5080,He's Expecting,SHOW,2022,TV-PG,"['drama', 'comedy', 'romance']",['JP'],tt14719276,1.6,2735.0
5082,He-Man and the Masters of the Universe,SHOW,2021,TV-Y7,"['scifi', 'action', 'fantasy', 'animation', 'comedy', 'drama', 'family']",['US'],tt11465278,5.8,1618.0
5087,Colin in Black & White,SHOW,2021,TV-14,"['drama', 'sport']",['US'],tt12624928,5.4,7021.0
5088,The Sons of Sam: A Descent Into Darkness,SHOW,2021,TV-MA,"['documentation', 'crime', 'history']",['US'],tt13156316,7.0,8124.0
5090,Crime Scene: The Times Square Killer,SHOW,2021,TV-MA,"['crime', 'documentation', 'history']",['US'],tt16027926,6.5,3355.0
5093,Gone for Good,SHOW,2021,TV-MA,"['drama', 'crime', 'thriller']",['FR'],tt14252964,6.3,3863.0
5095,High-Rise Invasion,SHOW,2021,TV-MA,"['action', 'horror', 'scifi', 'thriller', 'animation']",['JP'],tt13357164,6.6,2575.0
5097,Record of Ragnarok,SHOW,2021,TV-MA,"['scifi', 'drama', 'fantasy', 'thriller', 'animation', 'action']",['JP'],tt13676344,6.2,4647.0
5102,"Money, Explained",SHOW,2021,TV-14,['documentation'],['US'],tt14492910,6.9,2143.0
5106,The Way of the Househusband,SHOW,2021,TV-MA,"['animation', 'action', 'comedy', 'crime', 'drama', 'romance']",['JP'],tt13357124,7.3,3724.0
5107,Fate: The Winx Saga,SHOW,2021,TV-MA,"['scifi', 'drama', 'fantasy', 'action']",['US'],tt8179402,6.8,37995.0
5108,Shaman King,SHOW,2021,TV-PG,"['comedy', 'fantasy', 'animation', 'action', 'scifi']",['JP'],tt12502782,7.0,1480.0
5110,Jaguar,SHOW,2021,TV-MA,"['war', 'action', 'drama', 'history']",['ES'],tt11698590,5.7,1718.0
5112,Yasuke,SHOW,2021,TV-MA,"['scifi', 'action', 'drama', 'fantasy', 'thriller', 'animation']",['US'],tt9310330,6.2,4999.0
5113,Saturday Morning All Star Hits!,SHOW,2021,TV-14,"['animation', 'comedy']",['US'],tt15978256,7.6,846.0
5122,Post Mortem: No One Dies in Skarnes,SHOW,2021,TV-MA,"['thriller', 'comedy', 'drama']",['NO'],tt13053222,7.1,3229.0
5123,The Cook of Castamar,SHOW,2021,TV-MA,['drama'],['ES'],tt12626014,7.4,3637.0
5124,Thirty-Nine,SHOW,2022,TV-MA,"['drama', 'romance']",['KR'],tt15309342,7.9,150.0
5127,Bulgasal: Immortal Souls,SHOW,2021,TV-MA,"['scifi', 'thriller', 'drama', 'fantasy']",['KR'],tt14691616,7.4,1897.0
5128,Pretty Smart,SHOW,2021,TV-14,"['comedy', 'drama', 'romance']",['US'],tt14369056,5.7,4209.0
5131,My Unorthodox Life,SHOW,2021,TV-MA,['reality'],['US'],tt14398500,5.5,1170.0
5132,On the Verge,SHOW,2021,TV-MA,"['comedy', 'drama']",['FR'],tt5540990,6.5,2841.0
5137,"Devotion, a Story of Love and Desire",SHOW,2022,TV-MA,"['drama', 'romance']",['IT'],tt13956560,6.4,1262.0
5139,Baki Hanma,SHOW,2021,TV-MA,"['thriller', 'animation', 'action', 'drama', 'sport']",['JP'],tt13357140,6.6,1483.0
5142,Juvenile Justice,SHOW,2022,TV-MA,"['drama', 'crime']",['KR'],tt15553922,8.0,2163.0
5143,City of Ghosts,SHOW,2021,TV-Y7,['drama'],['FR'],tt15477516,6.1,10.0
5144,DOTA: Dragon's Blood,SHOW,2021,TV-MA,"['scifi', 'action', 'thriller', 'animation', 'fantasy']",['US'],tt14069590,7.8,17429.0
5145,Blue Period,SHOW,2021,TV-14,"['animation', 'drama']",['JP'],tt14115912,7.7,1712.0
5146,The Club,SHOW,2021,TV-14,"['drama', 'comedy']",['TR'],tt13317582,7.9,7810.0
5147,The Raincoat Killer: Chasing a Predator in Korea,SHOW,2021,TV-MA,"['documentation', 'crime', 'history']",['KR'],tt15488654,6.4,1864.0
5148,School of Chocolate,SHOW,2021,TV-PG,['reality'],['US'],tt15172154,7.6,1572.0
5152,Falling Into Your Smile,SHOW,2021,TV-14,"['drama', 'comedy', 'romance']",['CN'],tt11290960,8.4,2019.0
5155,Godzilla Singular Point,SHOW,2021,TV-14,"['scifi', 'animation', 'action', 'thriller']",['JP'],tt13229964,6.5,1612.0
5156,Snabba Cash,SHOW,2021,TV-MA,"['drama', 'thriller', 'action', 'crime']",['SE'],tt10540276,7.6,8176.0
5159,Cocaine Cowboys: The Kings of Miami,SHOW,2021,TV-MA,"['documentation', 'crime', 'history']",[],tt15049206,7.1,2624.0
5160,Wild Abandon,SHOW,2022,TV-MA,"['drama', 'comedy']",['TR'],tt13317478,7.2,3634.0
5166,The Upshaws,SHOW,2021,TV-14,['comedy'],['US'],tt10945036,6.8,2296.0
5169,Love (ft. Marriage and Divorce),SHOW,2021,TV-PG,"['drama', 'romance']",['KR'],tt13814840,6.6,433.0
5172,Neymar: The Perfect Chaos,SHOW,2022,TV-MA,"['documentation', 'sport']","['BR', 'US']",tt16428640,6.6,2907.0
5176,Eden,SHOW,2021,TV-PG,"['scifi', 'fantasy', 'animation', 'action', 'drama', 'family']",['JP'],tt10545250,6.6,1111.0
